,Name,Size,Price,Location
0,2 Bedroom Apartment,"



71 m²",R 1 295 000,Onverwacht
1,2 Bedroom Apartment,"



67 m²",R 1 040 000,Fairview Golf Estate
2,2 Bedroom Apartment,"



72 m²",R 1 800 000,Fairview Golf Estate
3,3 Bedroom House,"


500 m²",R 3 100 000,Pine Acres
4,2 Bedroom Apartment,"



71 m²",R 1 295 000,Admirals Park
5,Farm,"



67 m²",R 3 850 000,Mountainside
6,2 Bedroom Apartment,"



72 m²",R 1 040 000,Fairview Golf Estate
7,2 Bedroom Apartment,"


500 m²",R 1 800 000,Fairview Golf Estate
8,3 Bedroom House,"



71 m²",R 3 100 000,Pine Acres
9,3 Bedroom House,"


272 m²",R 2 481 500,Mountainside
10,5 Bedroom House,"


404 m²",R 5 950 000,Sea Breeze
11,1 Bedroom Apartment,"



39 m²",R 920 000,Harbour Island
12,2 Bedroom Apartment,"



76 m²",R 1 190 000,Greenbay Eco Estate
13,3 Bedroom House,"


537 m²",R 4 450 000,Whispering Pines
14,3 Bedroom House,"


270 m²",R 2 195 000,Mountainside
15,5 Bedroom House,"
1 045 m²",R 2 550 000,Gordons Bay Central
16,3 Bedroom House,"


331 m²",R 2 150 000,Anchorage Park
17,2 Bedroom Apartment,"


112 m²",R 1 450 000,Admirals Park
18,Commercial Property,"



82 m²",R 1 399 000,Gordon Strand Estate
19,3 Bedroom House,"


714 m²",R 4 900 000,Gordons Bay Village
20,3 Bedroom House,"


214 m²",R 2 625 510,Mountainside
21,2 Bedroom House,"


308 m²",R 1 295 000,Gordons Bay Central
22,3 Bedroom House,"


276 m²",R 2 418 500,Onverwacht
23,2 Bedroom Apartment,"



67 m²",R 1 040 000,Sea Breeze
24,3 Bedroom House,"


581 m²",R 3 300 000,Greenbay Eco Estate
25,5 Bedroom House,"


450 m²",R 3 200 000,Gordons Bay Village
26,2 Bedroom Apartment,"


112 m²",R 1 450 000,Mountainside
27,1 Bedroom Apartment,"


103 m²",R 685 000,Gordon Strand Estate
28,2 Bedroom Apartment,"



43 m²",R 1 450 000,Greenbay Eco Estate
29,3 Bedroom House,"


212 m²",R 2 000 000,Whispering Pines
30,4 Bedroom House,"


517 m²",R 3 950 000,Gordons Bay Central
31,2 Bedroom Apartment,"



70 m²",R 870 000,Mountainside
32,4 Bedroom House,"


503 m²",R 10 995 000,Whispering Pines
33,1 Bedroom Apartment,"


375 m²",R 649 000,Harbour Island
34,Vacant Land,"


573 m²",R 1 850 000,Gordons Bay Central
35,6 Bedroom House,"


428 m²",R 3 300 000,Gordons Bay Village
36,3 Bedroom House,11 753 m²,R 2 325 000,Gordons Bay Village
37,Vacant Land,"


198 m²",R 7 000 000,Admirals Park
38,3 Bedroom Townhouse,"


265 m²",R 1 890 000,Mountainside
39,3 Bedroom Apartment,"


444 m²",R 6 995 000,Gordons Bay Central
40,Vacant Land,"


223 m²",R 1 600 000,Harbour Island
41,2 Bedroom House,"



33 m²",R 1 450 000,Gordons Bay Village
42,Apartment,"


223 m²",R 604 900,Admirals Park
43,2 Bedroom House,"


500 m²",R 1 450 000,Firlands
44,4 Bedroom House,"


500 m²",R 2 495 000,Admirals Park
45,3 Bedroom House,"



88 m²",R 2 795 000,Fairview Golf Estate
46,Commercial Property,"
1 317 m²",R 1 399 000,Admirals Park
47,Vacant Land,"
2 742 m²",R 2 600 000,Gordons Bay Village
48,Vacant Land,"



66 m²",R 2 300 000,Gordon Heights
49,7 Bedroom House,"


530 m²",R 13 000 000,Mountainside
50,2 Bedroom Apartment,"



74 m²",R 890 000,Mountainside
51,4 Bedroom House,"
1 398 m²",R 4 150 000,Gordons Bay Central
52,3 Bedroom House,"


222 m²",R 2 292 500,Gordons Bay Central
53,3 Bedroom House,"


282 m²",R 4 500 000,Sea Breeze
54,2 Bedroom Apartment,"



64 m²",R 880 000,Harbour Island
55,2 Bedroom Apartment,"



71 m²",R 1 295 000,Fairview Golf Estate
56,3 Bedroom House,"


228 m²",R 2 292 500,Gordons Bay Village
57,3 Bedroom House,"


214 m²",R 2 625 500,Gordons Bay Central
58,4 Bedroom House,"


204 m²",R 1 697 000,Sea Breeze
59,Vacant Land,"
2 054 m²",R 3 750 000,Onverwacht
60,4 Bedroom House,"


907 m²",R 3 900 000,Mountainside
61,2 Bedroom Apartment,"



84 m²",R 2 150 000,Mountainside
62,1 Bedroom Apartment,"



40 m²",R 750 000,Harbour Island
63,3 Bedroom Apartment,"



89 m²",R 1 290 000,Gordons Bay Central
64,4 Bedroom House,"


907 m²",R 9 000 000,Whispering Pines
65,3 Bedroom House,"


502 m²",R 2 450 000,Gordons Bay Central
66,3 Bedroom Townhouse,"


127 m²",R 1 750 000,Fairview Golf Estate
67,4 Bedroom House,"


907 m²",R 9 000 000,Fairview Golf Estate
68,2 Bedroom Apartment,"



86 m²",R 1 100 000,Gordons Bay Central
69,3 Bedroom House,"


253 m²",R 1 645 000,Whispering Pines
70,2 Bedroom Apartment,"



66 m²",R 775 000,Onverwacht
71,3 Bedroom House,"


901 m²",R 4 295 000,Whispering Pines
72,Commercial Property,"


427 m²",R 9 500 000,Mountainside
73,2 Bedroom Apartment,"


104 m²",R 2 750 000,Mountainside
74,Vacant Land,"
1 348 m²",R 1 375 000,Harbour Island
75,2 Bedroom House,"


347 m²",R 5 995 000,Gordon Heights
76,3 Bedroom Apartment,"


216 m²",R 1 800 000,Mountainside
77,2 Bedroom Apartment,"



90 m²",R 1 895 000,Gordons Bay Village
78,Vacant Land,"


613 m²",R 2 800 000,Gordons Bay Village
79,3 Bedroom Apartment,"


120 m²",R 2 790 000,Gordons Bay Village
80,1 Bedroom Apartment,"



40 m²",R 825 000,Gordons Bay Village
81,2 Bedroom House,"


170 m²",R 1 290 000,Greenbay Eco Estate
82,2 Bedroom Apartment,"



76 m²",R 890 000,Anchorage Park
83,2 Bedroom Apartment,"



64 m²",R 885 000,Whispering Pines
84,3 Bedroom Apartment,"



76 m²",R 1 699 000,Fairview Golf Estate
85,2 Bedroom Townhouse,"


220 m²",R 1 395 000,Firlands
86,Vacant Land,"


870 m²",R 1 255 000,Fairview Golf Estate
87,3 Bedroom House,"


510 m²",R 5 350 000,Gordon Heights
88,3 Bedroom Apartment,"


216 m²",R 1 800 000,Harbour Island
89,3 Bedroom Apartment,"


122 m²",R 2 350 000,Gordons Bay Village
90,3 Bedroom House,"


148 m²",R 1 900 000,Harbour Island
91,Vacant Land,"
1 235 m²",R 1 750 000,Mountainside
92,2 Bedroom Apartment,"



68 m²",R 1 350 000,Mountainside
93,5 Bedroom House,"


755 m²",R 6 900 000,Gordons Bay Village
94,2 Bedroom Apartment,"



63 m²",R 630 000,Mountainside
95,5 Bedroom House,"


584 m²",R 2 245 000,Sea Breeze
96,3 Bedroom House,"


870 m²",R 1 865 000,Dobson
97,4 Bedroom House,"


931 m²",R 6 900 000,Anchorage Park
98,2 Bedroom Apartment,"



66 m²",R 775 000,Mountainside
99,4 Bedroom House,"


931 m²",R 6 900 000,Whispering Pines
